File Name and Path,Number of commits
dev/com.ibm.ws.webcontainer.servlet.4.0_fat/test-applications/TestGetMapping.war/src/testgetmapping/{war => }/servlets/GetMappingIncServlet.java,1
dev/com.ibm.ws.webcontainer.servlet.4.0_fat/test-applications/TestGetMapping.war/src/testgetmapping/{war => }/servlets/GetMappingNamedDispatcherFwdServlet.java,1
dev/com.ibm.ws.webcontainer.servlet.4.0_fat/test-applications/TestGetMapping.war/src/testgetmapping/{war => }/servlets/GetMappingNamedDispatcherIncServlet.java,1
dev/com.ibm.ws.webcontainer.servlet.4.0_fat/test-applications/TestGetMapping.war/src/testgetmapping/{war => }/servlets/GetMappingServlet.java,1
dev/com.ibm.ws.webcontainer.servlet.4.0_fat/test-applications/TestGetMappingSlashStar.war/src/testgetmappingslashstar/{war => }/servlets/GetMappingServletSlashStar.java,1
dev/com.ibm.ws.webcontainer.servlet.4.0_fat/test-applications/TestHandlesTypesClasses.war/resources/META-INF/services/javax.servlet.ServletContainerInitializer,1
dev/com.ibm.ws.webcontainer.servlet.4.0_fat/test-applications/TestHandlesTypesClasses.war/src/testhandlestypesclasses/{war => }/examples/AbstractClass.java,1
dev/com.ibm.ws.webcontainer.servlet.4.0_fat/test-applications/TestHandlesTypesClasses.war/src/testhandlestypesclasses/{war => }/examples/MyAbstractClass.java,1
dev/com.ibm.ws.webcontainer.servlet.4.0_fat/test-applications/TestHandlesTypesClasses.war/src/testhandlestypesclasses/{war => }/examples/MyImpl.java,1
dev/com.ibm.ws.webcontainer.servlet.4.0_fat/test-applications/TestHandlesTypesClasses.war/src/testhandlestypesclasses/{war => }/examples/MyInterface.java,1
dev/com.ibm.ws.webcontainer.servlet.4.0_fat/test-applications/TestHandlesTypesClasses.war/src/testhandlestypesclasses/{war => }/examples/SubMyInterface.java,1
dev/com.ibm.ws.webcontainer.servlet.4.0_fat/test-applications/TestHandlesTypesClasses.war/src/testhandlestypesclasses/{war => }/examples/TestServletContainerInitializer.java,1
dev/com.ibm.ws.webcontainer.servlet.4.0_fat/test-applications/TestHandlesTypesClasses.war/src/testhandlestypesclasses/{war => }/servlets/GetHandlesTypesClassesServlet.java,1
dev/com.ibm.ws.webcontainer.servlet.4.0_fat/test-applications/TestPushBuilderSecurity.war/src/testpushbuildersecurity/{war => }/servlets/PushBuilderSecuredServlet.java,1
dev/com.ibm.ws.webcontainer.servlet.4.0_fat/test-applications/TestPushBuilderSecurity.war/src/testpushbuildersecurity/{war => }/servlets/PushBuilderUnsecuredServlet.java,1
dev/com.ibm.ws.webcontainer.servlet.4.0_fat/test-applications/TestServlet40.war/src/testservlet40/{war => }/listeners/SessionTimeoutContextListenerImpl.java,1
