File Name and Path,Number of commits
dev/com.ibm.ws.kernel.boot/publish/platform/kernel-1.0.mf,4
dev/com.ibm.ws.kernel.service/src/com/ibm/ws/kernel/service/location/internal/WsLocationAdminImpl.java,2
dev/com.ibm.ws.kernel.service/src/com/ibm/wsspi/kernel/service/location/WsLocationConstants.java,2
dev/com.ibm.ws.kernel.service/src/com/ibm/wsspi/kernel/service/location/package-info.java,2
dev/com.ibm.ws.kernel.boot/publish/platform/java/java9.options,3
dev/com.ibm.ws.request.timing.hung_fat/fat/src/com/ibm/ws/request/timing/hung/fat/HungRequestEnableThreadDumps.java,2
dev/com.ibm.ws.request.timing.hung_fat/fat/src/com/ibm/ws/request/timing/hung/fat/HungRequestTiming.java,2
dev/com.ibm.ws.request.timing.hung_fat/publish/files/add-exports/jvm.options,2
dev/com.ibm.ws.request.timing_fat/fat/src/com/ibm/ws/request/timing/fat/TimingRequestTiming.java,2
dev/com.ibm.ws.request.timing_fat/publish/files/add-exports/jvm.options,2
dev/com.ibm.ws.security.wim.adapter.ldap_fat.krb5/fat/src/com/ibm/ws/security/wim/adapter/ldap/fat/krb5/Krb5ConfigTest.java,4
dev/com.ibm.ws.ssl/src/com/ibm/ws/ssl/KeyStoreService.java,2
dev/com.ibm.ws.ssl/src/com/ibm/ws/ssl/internal/KeyStoreServiceImpl.java,2
dev/com.ibm.ws.jdbc_fat_heritageinterop/test-applications/heritageDriver/src/test/jdbc/heritage/driver/helper/HDDataStoreHelper.java,2
dev/com.ibm.websphere.appserver.features/visibility/private/io.openliberty.wsAtomicTransaction1.2.internal.ee-9.0.feature,2
dev/com.ibm.websphere.appserver.features/visibility/private/io.openliberty.wsSecurity1.1.internal.jaxws-3.0.feature,2
dev/com.ibm.websphere.appserver.features/visibility/private/io.openliberty.wsSecuritySaml1.1.internal.jaxws-3.0.feature,2
dev/com.ibm.websphere.appserver.features/visibility/private/io.openliberty.wss4j-2.3.feature,2
dev/com.ibm.ws.jdbc_fat_krb5/bnd.bnd,2
dev/com.ibm.ws.logging.hpel_fat/bnd.bnd,2
dev/com.ibm.ws.logging.json_fat/bnd.bnd,2
dev/com.ibm.ws.logstash.collector_fat/bnd.bnd,2
dev/com.ibm.ws.request.probe.jdbc_fat/bnd.bnd,2
dev/com.ibm.ws.request.probe.servlet_fat/bnd.bnd,2
dev/com.ibm.ws.rest.handler.validator.cloudant_fat/bnd.bnd,2
dev/com.ibm.ws.security.wim.core_fat/bnd.bnd,2
dev/com.ibm.ws.security.wim.scim.2.0_fat/bnd.bnd,2
dev/com.ibm.ws.transaction.DB2HADB_fat/bnd.bnd,2
dev/com.ibm.ws.transaction.DerbyHADB_fat/bnd.bnd,2
dev/com.ibm.ws.transaction.OracleHADB_fat/bnd.bnd,2
dev/com.ibm.ws.transaction.PostgresqlHADB_fat/bnd.bnd,2
dev/com.ibm.ws.transaction.SQLServerHADB_fat/bnd.bnd,2
dev/com.ibm.ws.jbatch.open_fat/fat/src/batch/fat/junit/BatchJobOperatorApiWithAppSecurityTest.java,2
dev/com.ibm.ws.request.probes/src/com/ibm/ws/request/probe/bci/internal/RequestProbeTransformer.java,2
dev/com.ibm.ws.kernel.service/src/com/ibm/ws/kernel/service/util/MemoryInformation.java,6
dev/com.ibm.ws.org.apache.cxf.rt.security.3.4.1/bnd.bnd,2
dev/com.ibm.ws.org.apache.wss4j.ws.security.dom.2.3.0/bnd.bnd,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/.classpath,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/.project,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/.settings/bndtools.core.prefs,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/.settings/org.eclipse.core.resources.prefs,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/.settings/org.eclipse.jdt.core.prefs,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/.settings/org.eclipse.jdt.ui.prefs,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/bnd.bnd,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/fat/src/io/openliberty/restfulWS30/cdi30/fat/CheckCDIFeature.java,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/fat/src/io/openliberty/restfulWS30/cdi30/fat/FATSuite.java,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/fat/src/io/openliberty/restfulWS30/cdi30/fat/TestUtils.java,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/fat/src/io/openliberty/restfulWS30/cdi30/fat/test/AbstractTest.java,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/fat/src/io/openliberty/restfulWS30/cdi30/fat/test/ApplicationSingletonsTest.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/fat/src/io/openliberty/restfulWS30/cdi30/fat/test/Basic12Test.java,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/fat/src/io/openliberty/restfulWS30/cdi30/fat/test/Complex12Test.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/fat/src/io/openliberty/restfulWS30/cdi30/fat/test/DisableTest.java,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/fat/src/io/openliberty/restfulWS30/cdi30/fat/test/LifeCycle12Test.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/fat/src/io/openliberty/restfulWS30/cdi30/fat/test/LifeCycleMismatch12Test.java,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/publish/.gitignore,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/publish/servers/io.openliberty.restfulWS.3.0.cdi.3.0.fat.applicationsingleton/.gitignore,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/publish/servers/io.openliberty.restfulWS.3.0.cdi.3.0.fat.applicationsingleton/bootstrap.properties,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/publish/servers/io.openliberty.restfulWS.3.0.cdi.3.0.fat.applicationsingleton/server.xml,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/publish/servers/io.openliberty.restfulWS.3.0.cdi.3.0.fat.basic/.gitignore,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/publish/servers/io.openliberty.restfulWS.3.0.cdi.3.0.fat.basic/bootstrap.properties,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/publish/servers/io.openliberty.restfulWS.3.0.cdi.3.0.fat.basic/server.xml,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/publish/servers/io.openliberty.restfulWS.3.0.cdi.3.0.fat.complex/.gitignore,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/publish/servers/io.openliberty.restfulWS.3.0.cdi.3.0.fat.complex/bootstrap.properties,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/publish/servers/io.openliberty.restfulWS.3.0.cdi.3.0.fat.complex/server.xml,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/publish/servers/io.openliberty.restfulWS.3.0.cdi.3.0.fat.disable/.gitignore,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/publish/servers/io.openliberty.restfulWS.3.0.cdi.3.0.fat.disable/bootstrap.properties,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/publish/servers/io.openliberty.restfulWS.3.0.cdi.3.0.fat.disable/server.xml,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/publish/servers/io.openliberty.restfulWS.3.0.cdi.3.0.fat.lifecyclemethod/.gitignore,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/publish/servers/io.openliberty.restfulWS.3.0.cdi.3.0.fat.lifecyclemethod/bootstrap.properties,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/publish/servers/io.openliberty.restfulWS.3.0.cdi.3.0.fat.lifecyclemethod/server.xml,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/publish/servers/io.openliberty.restfulWS.3.0.cdi.3.0.fat.lifecyclemismatch/.gitignore,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/publish/servers/io.openliberty.restfulWS.3.0.cdi.3.0.fat.lifecyclemismatch/bootstrap.properties,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/publish/servers/io.openliberty.restfulWS.3.0.cdi.3.0.fat.lifecyclemismatch/server.xml,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/applicationsingleton/src/io/openliberty/restfulWS30/cdi30/fat/applicationsingleton/CDIFilter.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/applicationsingleton/src/io/openliberty/restfulWS30/cdi30/fat/applicationsingleton/HelloResource.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/applicationsingleton/src/io/openliberty/restfulWS30/cdi30/fat/applicationsingleton/SimpleBean.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/applicationsingleton/src/io/openliberty/restfulWS30/cdi30/fat/applicationsingleton/application/cdisingleton/CDISingletonApplication.java,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/applicationsingleton/src/io/openliberty/restfulWS30/cdi30/fat/applicationsingleton/application/pojosingleton/POJOSingletonApplication.java,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/applicationsingleton/src/io/openliberty/restfulWS30/cdi30/fat/applicationsingleton/application/resourcecontextcdisingleton/ResourceContextCDISingletonApplication.java,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/basic/resources/WEB-INF/beans.xml,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/basic/resources/WEB-INF/web.xml,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/basic/src/io/openliberty/restfulWS30/cdi30/fat/basic/CdiConstructorInjectionResource.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/basic/src/io/openliberty/restfulWS30/cdi30/fat/basic/CommentError.java,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/basic/src/io/openliberty/restfulWS30/cdi30/fat/basic/ContextRequestFilter.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/basic/src/io/openliberty/restfulWS30/cdi30/fat/basic/HelloWorldApplication.java,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/basic/src/io/openliberty/restfulWS30/cdi30/fat/basic/HelloWorldResource.java,4
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/basic/src/io/openliberty/restfulWS30/cdi30/fat/basic/HelloWorldResource2.java,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/basic/src/io/openliberty/restfulWS30/cdi30/fat/basic/HelloWorldResource3.java,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/basic/src/io/openliberty/restfulWS30/cdi30/fat/basic/HelloWorldResource3Child.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/basic/src/io/openliberty/restfulWS30/cdi30/fat/basic/HelloWorldResourceForC.java,4
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/basic/src/io/openliberty/restfulWS30/cdi30/fat/basic/HelloWorldResourceForS.java,4
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/basic/src/io/openliberty/restfulWS30/cdi30/fat/basic/HelloWorldResourceForT1.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/basic/src/io/openliberty/restfulWS30/cdi30/fat/basic/HelloWorldResourceForT2.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/basic/src/io/openliberty/restfulWS30/cdi30/fat/basic/HelloWorldResourceForT3.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/basic/src/io/openliberty/restfulWS30/cdi30/fat/basic/HelloWorldServlet.java,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/basic/src/io/openliberty/restfulWS30/cdi30/fat/basic/InjectedClass.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/basic/src/io/openliberty/restfulWS30/cdi30/fat/basic/JordanException.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/basic/src/io/openliberty/restfulWS30/cdi30/fat/basic/JordanExceptionMapProvider.java,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/basic/src/io/openliberty/restfulWS30/cdi30/fat/basic/MyBookImpl.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/basic/src/io/openliberty/restfulWS30/cdi30/fat/basic/MyBookInterface.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/basic/src/io/openliberty/restfulWS30/cdi30/fat/basic/Person.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/basic/src/io/openliberty/restfulWS30/cdi30/fat/basic/SimpleBean.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/basic/src/io/openliberty/restfulWS30/cdi30/fat/basic/Student.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/basic/src/io/openliberty/restfulWS30/cdi30/fat/basic/Teacher.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/beanvalidation/resources/WEB-INF/beans.xml,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/beanvalidation/resources/WEB-INF/web.xml,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/complex/resources/WEB-INF/beans.xml,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/complex/resources/WEB-INF/web.xml,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/complex/src/io/openliberty/restfulWS30/cdi30/fat/complex/CommentError.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/complex/src/io/openliberty/restfulWS30/cdi30/fat/complex/ContextRequestFilter.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/complex/src/io/openliberty/restfulWS30/cdi30/fat/complex/HelloWorldApplication.java,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/complex/src/io/openliberty/restfulWS30/cdi30/fat/complex/HelloWorldResource2.java,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/complex/src/io/openliberty/restfulWS30/cdi30/fat/complex/JordanException.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/complex/src/io/openliberty/restfulWS30/cdi30/fat/complex/JordanResource.java,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/complex/src/io/openliberty/restfulWS30/cdi30/fat/complex/JordanResourceProvider.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/complex/src/io/openliberty/restfulWS30/cdi30/fat/complex/Person.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/complex/src/io/openliberty/restfulWS30/cdi30/fat/complex/SimpleBean.java,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/complex/src/io/openliberty/restfulWS30/cdi30/fat/complex/Student.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/complex/src/io/openliberty/restfulWS30/cdi30/fat/complex/Teacher.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/disable/resources/WEB-INF/web.xml,4
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/disable/src/io/openliberty/restfulWS30/cdi30/fat/disable/HelloWorldApplication.java,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/disable/src/io/openliberty/restfulWS30/cdi30/fat/disable/HelloWorldResource.java,4
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/disable/src/io/openliberty/restfulWS30/cdi30/fat/disable/HelloWorldResourceForC.java,2
